Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
69,13,1,2,8,Some Random Commen with Id 69
70,14,5,6,7,Some Random Commen with Id 70
71,14,5,172,3,Some Random Commen with Id 71
72,14,5,107,9,Some Random Commen with Id 72
73,14,5,35,9,Some Random Commen with Id 73
74,14,5,187,0,Some Random Commen with Id 74
75,15,4,24,3,Some Random Commen with Id 75
76,15,4,74,9,Some Random Commen with Id 76
77,15,4,113,3,Some Random Commen with Id 77
78,16,5,185,4,Some Random Commen with Id 78
79,16,5,8,3,Some Random Commen with Id 79
80,16,5,90,1,Some Random Commen with Id 80
81,16,5,51,9,Some Random Commen with Id 81
82,16,5,151,9,Some Random Commen with Id 82
83,16,5,116,2,Some Random Commen with Id 83
84,16,5,95,4,Some Random Commen with Id 84
85,16,5,61,8,Some Random Commen with Id 85
86,16,5,108,1,Some Random Commen with Id 86
87,18,7,21,0,Some Random Commen with Id 87
88,18,7,87,3,Some Random Commen with Id 88
89,18,7,16,4,Some Random Commen with Id 89
90,18,7,174,3,Some Random Commen with Id 90
91,18,7,167,3,Some Random Commen with Id 91
92,18,7,61,7,Some Random Commen with Id 92
93,19,0,95,8,Some Random Commen with Id 93
94,20,5,192,9,Some Random Commen with Id 94
95,20,5,18,0,Some Random Commen with Id 95
96,20,5,97,3,Some Random Commen with Id 96
97,20,5,188,3,Some Random Commen with Id 97
98,20,5,148,5,Some Random Commen with Id 98
99,20,5,141,8,Some Random Commen with Id 99
100,20,5,38,0,Some Random Commen with Id 100
101,20,5,35,9,Some Random Commen with Id 101
102,21,2,126,9,Some Random Commen with Id 102
103,21,2,174,8,Some Random Commen with Id 103
104,21,2,171,5,Some Random Commen with Id 104
105,21,2,81,3,Some Random Commen with Id 105
106,21,2,82,3,Some Random Commen with Id 106
107,22,1,137,5,Some Random Commen with Id 107
108,22,1,67,1,Some Random Commen with Id 108
109,22,1,65,7,Some Random Commen with Id 109
110,22,1,112,0,Some Random Commen with Id 110
111,22,1,94,9,Some Random Commen with Id 111
112,22,1,133,3,Some Random Commen with Id 112
113,22,1,29,8,Some Random Commen with Id 113
114,22,1,175,2,Some Random Commen with Id 114
115,23,4,53,0,Some Random Commen with Id 115
116,23,4,184,2,Some Random Commen with Id 116
117,23,4,142,8,Some Random Commen with Id 117
118,23,4,139,7,Some Random Commen with Id 118
119,23,4,185,4,Some Random Commen with Id 119
120,23,4,193,6,Some Random Commen with Id 120
121,23,4,155,5,Some Random Commen with Id 121
122,23,4,142,8,Some Random Commen with Id 122
123,24,8,79,8,Some Random Commen with Id 123
124,24,8,104,2,Some Random Commen with Id 124
125,24,8,159,2,Some Random Commen with Id 125
126,24,8,172,7,Some Random Commen with Id 126
127,24,8,179,0,Some Random Commen with Id 127
128,24,8,75,8,Some Random Commen with Id 128
129,24,8,159,6,Some Random Commen with Id 129
130,24,8,196,0,Some Random Commen with Id 130
131,24,8,154,3,Some Random Commen with Id 131
132,25,6,133,3,Some Random Commen with Id 132
133,25,6,88,7,Some Random Commen with Id 133
134,25,6,185,5,Some Random Commen with Id 134
135,26,7,29,1,Some Random Commen with Id 135
136,26,7,58,1,Some Random Commen with Id 136
137,27,5,86,4,Some Random Commen with Id 137
138,27,5,18,8,Some Random Commen with Id 138
139,27,5,125,0,Some Random Commen with Id 139
140,27,5,45,1,Some Random Commen with Id 140
141,27,5,149,6,Some Random Commen with Id 141
142,27,5,157,4,Some Random Commen with Id 142
143,27,5,117,9,Some Random Commen with Id 143
144,27,5,136,8,Some Random Commen with Id 144
145,28,0,162,3,Some Random Commen with Id 145
146,28,0,3,4,Some Random Commen with Id 146
147,28,0,62,2,Some Random Commen with Id 147
148,28,0,87,2,Some Random Commen with Id 148
149,29,0,151,1,Some Random Commen with Id 149
150,29,0,164,6,Some Random Commen with Id 150
151,29,0,13,2,Some Random Commen with Id 151
152,29,0,35,0,Some Random Commen with Id 152
153,30,3,62,6,Some Random Commen with Id 153
154,30,3,49,2,Some Random Commen with Id 154
155,30,3,57,5,Some Random Commen with Id 155
156,30,3,62,4,Some Random Commen with Id 156
157,30,3,167,0,Some Random Commen with Id 157
158,31,3,1,9,Some Random Commen with Id 158
159,31,3,46,2,Some Random Commen with Id 159
160,31,3,131,2,Some Random Commen with Id 160
161,31,3,90,6,Some Random Commen with Id 161
162,31,3,32,9,Some Random Commen with Id 162
163,31,3,12,4,Some Random Commen with Id 163
164,31,3,180,3,Some Random Commen with Id 164
165,31,3,106,9,Some Random Commen with Id 165
166,31,3,55,6,Some Random Commen with Id 166
167,33,4,3,2,Some Random Commen with Id 167
168,33,4,170,6,Some Random Commen with Id 168
169,33,4,33,7,Some Random Commen with Id 169
170,33,4,73,1,Some Random Commen with Id 170
171,33,4,180,4,Some Random Commen with Id 171
172,35,5,198,2,Some Random Commen with Id 172
173,35,5,133,9,Some Random Commen with Id 173
174,35,5,163,1,Some Random Commen with Id 174
175,35,5,94,7,Some Random Commen with Id 175
176,35,5,2,0,Some Random Commen with Id 176
177,35,5,103,8,Some Random Commen with Id 177
178,35,5,186,3,Some Random Commen with Id 178
179,35,5,50,5,Some Random Commen with Id 179
180,35,5,61,5,Some Random Commen with Id 180
181,36,8,137,3,Some Random Commen with Id 181
182,36,8,92,2,Some Random Commen with Id 182
183,36,8,27,8,Some Random Commen with Id 183
184,36,8,148,8,Some Random Commen with Id 184
185,37,7,27,7,Some Random Commen with Id 185
186,37,7,138,5,Some Random Commen with Id 186
187,38,4,72,7,Some Random Commen with Id 187
188,38,4,105,5,Some Random Commen with Id 188
189,38,4,2,6,Some Random Commen with Id 189
190,38,4,74,7,Some Random Commen with Id 190
191,38,4,7,6,Some Random Commen with Id 191
192,39,2,51,0,Some Random Commen with Id 192
193,39,2,114,0,Some Random Commen with Id 193
